email_text,label
"Estimado cliente, le informamos que su inversión ha sido aprobada Se realizará en el auditorio principal a las 6:00 PM.",ham
"Estimado Señora, su perfil de redes sociales ha sido comprometida por hackers Confirme su identidad ahora. Verifique en: http://bit.ly/account-secure",spam
"Estimado Juan, hemos recibido su consulta sobre el proceso de verificación y confirmamos que ha sido completado exitosamente.",ham
¡INCREÍBLE OFERTA! Samsung Galaxy con 95% de descuento ¡Oferta limitada! ¡Visite nuestro sitio!,spam
"Estimado María, la reunión de padres para su hija Ana será el 10 de mayo a las 9:00 AM Discutiremos el progreso académico y las áreas de mejora.",ham
"Estimado Ana, la reunión de padres para su hijo Carlos será el 15 de marzo a las 2:00 PM Discutiremos el progreso académico y las áreas de mejora.",ham
"¡CONGRATULACIONES! Ha sido seleccionado para recibir una recompensa especial Para recibir, proporcione sus datos personales. ¡No espere más!",spam
¡INVERSIÓN GARANTIZADA! bienes raíces con 200% de retorno Riesgo mínimo garantizado ¡Únase a nosotros!,spam
¡ÚLTIMA OPORTUNIDAD! MacBook Air por $39.99 ¡Solo por 2 horas! ¡Compre ahora mismo!,spam
"¡FELICIDADES! Ha ganado un viaje a Disney World valorado en $5,000 Para recibir su regalo debe responder en las próximas 24 horas.",spam
"Hola Jorge, confirmamos la reunión programada para el viernes a las 9:00 AM en la sala de conferencias Discutiremos el progreso académico y las áreas de mejora.",ham
¡OFERTA RELÁMPAGO! iPhone 15 Pro gratis solo paga el envío ¡Visite nuestro sitio! Teléfono: 555-0123,spam
"Estimado Amigo, hemos encontrado una herencia a su nombre de $3,200,000 ¡Oferta limitada! Responda este email para más detalles.",spam
¡VIAJE INCREÍBLE! unas vacaciones de ensueño por solo $299 ¡Descuentos increíbles! ¡No se lo pierda!,spam
"Hola Carlos, su pedido #COMP-2024-789 ha sido confirmado y está siendo preparado para envío Recibirá un número de seguimiento por correo electrónico.",ham
"Estimado cliente, le informamos que su tarjeta de crédito ha sido verificada Se realizará en el auditorio principal a las 6:00 PM.",ham
"Hola Alejandro, le enviamos este recordatorio sobre la renovación de su seguro La cita está programada para el próximo martes.",ham
"¡EMPLEO URGENTE! empleo online ganando $15,000 por mes Proceso simple de aplicación Email: trabajo@empresa.com",spam
¡OPORTUNIDAD DE INVERSIÓN! una oportunidad única con retornos asegurados Fortuna en poco tiempo ¡Actúe ahora!,spam
"Hola Alejandro, le enviamos este recordatorio sobre su próxima revisión médica El proceso debe completarse antes del fin de mes.",ham
¡DINERO FÁCIL! un sistema de trading automatizado con beneficios del 2000% Ganancias garantizadas ¡Comience inmediatamente!,spam
"Estimado Juan, la reunión de padres para su hijo Carlos será el 22 de abril a las 9:00 AM Discutiremos el progreso académico y las áreas de mejora.",ham
"Estimado Señora, un familiar lejano le ha dejado una fortuna de $5,000,000 ¡No se lo pierda! Contáctenos al 555-0123 para reclamar.",spam
¡OFERTA DE VIAJE! un viaje de 7 días con precio especial ¡Solo por hoy! ¡WhatsApp: +1-555-0123!,spam
"¡CRÉDITO INMEDIATO! $200,000 sin requisitos Sin verificación de crédito ¡Solicite ahora!",spam
"Estimado Mónica, le comunico que el documento solicitado está listo Si tiene alguna pregunta, no dude en contactarnos.",ham
¡DINERO RÁPIDO! préstamo rápido Decisión rápida Sin preguntas ¡Comience mañana!,spam
"Hola Jorge, su cuenta bancaria con fecha de vencimiento en revisión Le notificaremos cuando esté lista.",ham
"Hola Alejandro, las calificaciones de matemáticas están disponibles Están publicadas en el sistema de calificaciones La fecha límite es el próximo viernes.",ham
¡DESCUBRIMIENTO INCREÍBLE! un descubrimiento científico Cambiará su vida para siempre ¡Precio especial solo por hoy! ¡Compre ahora mismo!,spam
"Estimado Pedro, su informe sobre evaluación de desempeño ha sido en proceso de finalización Excelente trabajo, el informe está muy completo.",ham
"Estimado Ana, sus resultados de radiografía de tórax están listos Puede recogerlos en nuestro laboratorio de lunes a viernes de 8:00 AM a 6:00 PM. Recibirá la confirmación oficial en los próximos días.",ham
¡DINERO FÁCIL! un negocio online con ganancias del 1000% Inversión 100% segura ¡No pierda esta oportunidad!,spam
"¡CONGRATULACIONES! Ha sido seleccionado para recibir una recompensa especial Para recibir, proporcione sus datos personales. ¡No espere más!",spam
¡OFERTA ESPECIAL! Samsung Galaxy gratis si compra otro producto ¡Invierta hoy mismo! Email: ofertas@empresa.com,spam
"Estimado cliente, su cuenta de Netflix ha sido comprometida Confirme sus datos urgentemente. Visite: http://bit.ly/secure-login",spam
"Hola Juan, le enviamos este recordatorio sobre la renovación de su seguro La cita está programada para el próximo martes.",ham
"Estimado Cliente, un familiar lejano le ha dejado una fortuna de $1,800,000 ¡Últimas unidades! Contáctenos al 555-0123 para reclamar.",spam
¡SOLUCIÓN DEFINITIVA! la solución definitiva Efectos comprobados ¡Oferta única! ¡Compre ahora!,spam
"Estimado Elena, le escribo para su perfil ha sido actualizado con éxito Estamos a su disposición para cualquier consulta.",ham
"Estimado Carlos, no olvide que la reunión de padres es mañana 22 de abril Se realizará en el auditorio principal a las 6:00 PM.",ham
"Estimado Mónica, hemos recibido su compra de el libro solicitado y está siendo preparado para envío El envío estándar toma 5-7 días hábiles.",ham
"Hola Fernando, le enviamos este recordatorio sobre la renovación de su seguro La cita está programada para el próximo martes.",ham
¡VIAJE INCREÍBLE! una aventura única por solo $199 ¡Descuentos increíbles! ¡Llame ahora!,spam
"Hola Luis, le recordamos que tiene una cita médica mañana La fecha límite es el próximo viernes. Por favor confirme su asistencia.",ham
¡ALERTA DE OFERTA! Samsung Galaxy con 85% de descuento ¡Stock limitado! ¡Ordene ya!,spam
"Estimado Laura, su suscripción a membresía anual ha sido extendida por 12 meses más Los nuevos términos y condiciones están disponibles en nuestro sitio web.",ham
"¡EMPLEO URGENTE! empleo online con salario de $10,000 mensuales Proceso simple de aplicación Email: trabajo@empresa.com",spam
¡DINERO RÁPIDO! crédito inmediato Respuesta inmediata Sin interrogatorios ¡Aplique inmediatamente!,spam
"Estimado Luis, hemos recibido su compra de el libro solicitado y hemos procesado su pago exitosamente El envío estándar toma 5-7 días hábiles.",ham
"Hola Patricia, las calificaciones de historia están disponibles Puede consultarlas en el portal estudiantil La fecha límite es el próximo viernes.",ham
"Hola Miguel, las calificaciones de ciencias están disponibles Puede consultarlas en el portal estudiantil Todos los entregables están listos.",ham
"Hola David, le recordamos que su pago mensual vence el próximo viernes Todos los entregables están listos. Por favor confirme su asistencia.",ham
"Hola Pedro, su cuenta bancaria con saldo disponible en revisión Recibirá la confirmación oficial en los próximos días.",ham
¡PRODUCTO MILAGROSO! crema anti-envejecimiento Transformación total ¡Solo quedan 10 unidades! ¡Ordene inmediatamente!,spam
"¡OPORTUNIDAD DE TRABAJO! asistente virtual con salario de $12,000 mensuales Trabajo desde casa ¡Comience mañana!",spam
¡INVERSIÓN GARANTIZADA! forex trading con 1000% de retorno Riesgo mínimo garantizado ¡Comience hoy!,spam
"Hola Mónica, le notifico que su solicitud ha sido procesada exitosamente Esperamos que esta información sea útil.",ham
¡OPORTUNIDAD DE INVERSIÓN! un negocio rentable con beneficios seguros Dinero rápido y fácil ¡No espere más!,spam
"Estimado Alejandro, su curso de programación avanzada comenzará el 10 de mayo Lunes y miércoles de 6:00 PM a 8:00 PM Los materiales del curso estarán disponibles en la plataforma virtual.",ham
